name,wmo-id,bom-id,tz,stn-name,stn-height,type,lat,lon,forecast-district-id,description,apparent_temp,delta_t,gust_kmh,wind_gust_spd,air_temperature,dew_point,pres,msl_pres,qnh_pres,rel-humidity,vis_km,wind_dir,wind_dir_deg,wind_spd_kmh,wind_spd,rainfall,rainfall_24hr,maximum_air_temperature,minimum_air_temperature,maximum_gust_spd,maximum_gust_kmh,maximum_gust_dir,cloud,cloud_oktas,cloud_base_m,cloud_type_id,weather,rain_hour,rain_ten
units,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Celsius,Celsius,km/h,knots,Celsius,Celsius,hPa,hPa,hPa,%,km,nan,deg,km/h,knots,mm,mm,Celsius,Celsius,knots,km/h,nan,nan,nan,m,nan,nan,mm,mm
PORTABLE VIC HARVEST A (DELWP),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,6.8,,,20.6,7.3,,,,42.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0
PORTABLE VIC HARVEST B (DELWP),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,6.2,,,20.0,8.0,,,,46.0,,,,,,0.2,0.0,,,,,,,,,,,0.0,0.0
PORTABLE VIC HARVEST C (DELWP),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,6.3,,,19.9,7.6,,,,45.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0
PORTABLE VIC HARVEST D (DELWP),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,6.9,,,20.5,6.8,,,,41.0,,,,,,0.2,0.0,,,,,,,,,,,0.0,0.0
PORTABLE VIC HARVEST E (DELWP),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,6.3,,,20.1,7.8,,,,45.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0
PORTABLE VIC HARVEST F (DELWP),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,6.6,,,20.6,7.9,,,,44.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0
PORTLAND NTC AWS,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,,32.0,17.0,17.6,,1017.5,1017.5,1017.5,,,WSW,247.0,20.0,11.0,,,,,,,,,,,,,,
POUND CREEK,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),16.7,4.6,17.0,9.0,19.3,10.8,1017.5,1017.5,,58.0,,SSW,203.0,15.0,8.0,0.0,0.0,19.7,3.5,13.0,24.0,SW,,,,,,,
PUCKAPUNYAL LYON HILL (DEFENCE),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.8,8.8,26.0,14.0,23.3,6.1,,,,33.0,,S,179.0,19.0,10.0,0.0,0.0,23.6,8.8,28.0,52.0,S,,,,,,,
PUCKAPUNYAL WEST (DEFENCE),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),14.6,8.5,35.0,19.0,21.3,3.9,,,,32.0,,SSE,147.0,28.0,15.0,0.0,0.0,22.4,8.0,28.0,52.0,SSE,,,,,,,
